Pregunta,Respuesta,id,top_1_id,top_2_id,top_3_id
"Según el artículo de Clarín del 14 de marzo de 2022, ¿qué porcentaje de aumento en el precio de la nafta premium se aplicó desde la madrugada de este lunes?","La nafta premium tuvo un aumento del 11,5%.",1489,1489,794,182
"De acuerdo con el artículo de Clarín del 31 de enero de 2022, ¿cómo reaccionó Cristina Kirchner ante la decisión de su hijo Máximo Kirchner de renunciar a la jefatura del bloque del Frente de Todos?",Cristina Kirchner no estuvo de acuerdo con la decisión de Máximo Kirchner.,545,545,781,417
"Según el artículo de Perfil.com del 17 de marzo de 2022, ¿quiénes son los cinco presidentes y ministros argentinos que más dificultades han demostrado al hablar inglés?","Según el artículo, los cinco presidentes y ministros argentinos que más dificultades han demostrado al hablar inglés son Carlos Menem, Domingo Cavallo, Cristina Kirchner, Mauricio Macri y Santiago Cafiero.",1396,1396,1597,1432
"De acuerdo con el artículo publicado en el diario La Nación el 9 de abril de 2022, ¿cuál fue el argumento principal del juez federal Alejo Ramos Padilla para archivar la causa por la ocupación del predio del exClub Planeadores en Los Hornos?","El juez Ramos Padilla argumentó que la ocupación del predio ocurrió ""a plena luz del día"" y ""a la vista de todos"", por lo que no constituía delito.",2218,2218,2678,882
"De acuerdo con el diputado nacional Facundo Manes, ¿qué medidas estatales deberían tomarse para prevenir muertes por consumo de cocaína adulterada, según el artículo del diario Perfil publicado el 3 de febrero de 2022?","Manes propone la regulación estatal de la cocaína, incluyendo políticas de prevención y control de daños, argumentando que la evidencia de otros países demuestra la efectividad de esta medida.",746,746,660,693
"De acuerdo con el artículo del diario Clarín del 2 de febrero de 2022, ¿qué postura tomó la Sociedad Civil Abogados Solidarios ante el discurso del juez Juan Ramos Padilla en la marcha del 1 de febrero contra la Corte Suprema de Justicia?",La Sociedad Civil Abogados Solidarios repudió el discurso del juez Juan Ramos Padilla en la marcha contra la Corte Suprema y aclaró que sus dichos no representaban a la entidad.,882,882,404,3155
"Según el artículo del diario Perfil publicado el 23 de marzo de 2022, ¿qué porcentaje representó el crecimiento del uso de dinero electrónico en enero de 2022 en comparación con diciembre de 2021?","El uso de dinero electrónico en Argentina aumentó un 3,6% en enero de 2022 en comparación con diciembre de 2021.",1916,1916,1103,182
"De acuerdo con el artículo de Clarín del 9 de febrero de 2022, ¿qué medida tomaron los residentes del Club de Campo Abril en respuesta a la solicitud de la familia Moyano para alquilar una propiedad en el club?",Los residentes del Club de Campo Abril firmaron una carta dirigida al Directorio del club expresando su rechazo a la admisión de la familia Moyano.,907,907,2643,3076
"Según el artículo publicado en Perfil el 27 de junio de 2022, ¿qué fenómeno económico se considera una amenaza para la economía global, y cómo se caracteriza?","La estanflación, que se caracteriza por la combinación de inflación acelerada y un estancamiento económico, es una amenaza emergente para la economía mundial.",4393,4393,2810,970
"Según Eduardo Bolsonaro, hijo del presidente de Brasil, ¿qué similitudes existen entre la situación política de Javier Milei en Argentina y la de su padre, Jair Bolsonaro, en Brasil?","Eduardo Bolsonaro sostiene que tanto Milei como su padre fueron víctimas de ataques por parte de la izquierda, quienes lanzaron acusaciones infundadas en su contra.",2740,2740,4209,2502
"Según el artículo de Clarín del 20 de abril de 2022, ¿cuál es el objetivo principal de la movilización de los movimientos sociales oficialistas el 1 de mayo?",La movilización del 1 de mayo busca respaldar el impuesto a la renta inesperada y presionar por la agenda de la economía popular.,2431,2431,1756,3289
"Según el artículo de Perfil.com del 2 de junio de 2022, ¿cuál es el beneficio principal que ofrece la nueva visa para 'nómades digitales' en comparación con los visados de turismo existentes?","La visa para 'nómades digitales' permite una estadía de hasta un año en Argentina, duplicando el tiempo de permanencia que ofrece el visado de turismo.",3656,3656,3694,2764
"Según el artículo de Perfil del 5 de abril de 2022, ¿qué medidas tomó el Banco Provincia ante las denuncias de débitos desconocidos en las cuentas de sus clientes?","El Banco Provincia negó que se tratara de un hackeo y aseguró que sus sistemas de seguridad no fueron violados, ofreciendo a los clientes asistencia a través de sus canales de comunicación y un paso a paso para corroborar la autorización de los débitos.",1908,1908,2459,2182
"Según un artículo del diario Perfil del 29 de mayo de 2022, ¿cuál es la propuesta de un proyecto de ley presentado por la oposición para combatir la inflación en Argentina?","El proyecto de ley propone eliminar dos ceros al peso argentino, estableciendo que 100 pesos equivalen a 1 peso, y que el Banco Central emita billetes y monedas en base a esta nueva paridad.",3570,3570,2984,2944
"Según el artículo de La Nación del 25 de enero de 2022, ¿cuál es el principal mercado actual para la empresa Un Mate, fundada por cuatro hermanos holandeses?","Actualmente, el mercado local representa el 90% de las ventas de Un Mate.",325,325,345,3433
"Según el artículo de Clarín del 13 de febrero de 2022, ¿cuál es la principal crítica de Patricia Bullrich hacia el gobernador de Córdoba, Juan Schiaretti?",Patricia Bullrich critica que Juan Schiaretti ha gobernado Córdoba durante más de 20 años y considera que es tiempo de un cambio.,847,847,238,1728
"De acuerdo a una entrevista del 27 de septiembre de 2021 publicada por La Nación, ¿qué opinión tiene Javier Milei sobre la comida?",Javier Milei considera que la comida es simplemente una necesidad fisiológica para alimentar el cuerpo y no le genera ningún tipo de placer.,4292,4292,4252,4432
"Según el artículo del diario La Nación, publicado el 9 de marzo de 2022, ¿qué razón argumentó Emepa para pagar una tasa de US$800.000 para que se revise la licitación corta del dragado de la Hidrovía?","Emepa argumentó que la Administración General de Puertos (AGP) no calificó correctamente a su consorcio con Rohde Nielsen, impugnando el dictamen de precalificación emitido por la AGP.",1238,1238,1559,2938
"Según el ministro del Interior, Eduardo 'Wado' de Pedro, ¿cuál es el principal objetivo de su participación en Expoagro 2022 y cómo se relaciona con la situación económica actual de Argentina?","De Pedro busca generar sinergia entre el Gobierno y el sector agroindustrial para impulsar la producción y el empleo, con el objetivo de sacar a la mitad de la población argentina de la pobreza.",1563,1563,2910,750
"De acuerdo al artículo de La Nación, ¿cuál es la característica distintiva de la casa ""La Islerita"" en relación al orden tradicional de los pisos en una vivienda?","La casa ""La Islerita"" tiene las áreas sociales en los pisos superiores, en lugar de los pisos inferiores, para aprovechar las mejores vistas y la luz natural.",1743,1743,1142,779
"Según el diario La Nación, ¿cuántas toneladas de limones se perderán en Corrientes debido a la falta de gasoil en la campaña de cosecha de mayo, junio y julio de 2022?",Se perderán 25.000 toneladas de limones.,3814,3814,3408,3692
"Según el artículo publicado en Clarín el 22 de mayo de 2022, ¿cuál fue la principal razón por la que Sabrina Sansone renunció a su cargo como Secretaria de Cultura de Salta?",Sabrina Sansone renunció debido a la percepción de que se malgasta el erario público en gente que no valora su trabajo y que le hurta el dinero a los salteños.,3336,3336,2721,4337
"Según declaraciones de Hilda 'Chiche' Duhalde en el diario Perfil el 4 de abril de 2022, ¿qué sentimientos le genera el kirchnerismo?",Hilda 'Chiche' Duhalde confiesa sentir 'un asco terrible' por el kirchnerismo.,1841,1841,2646,428
"Según el artículo de La Nación del 10 de mayo de 2022, ¿cuál fue la principal tensión que se evidenció durante la cena anual de la Fundación Libertad?","La principal tensión durante la cena anual de la Fundación Libertad fue la lucha por el liderazgo dentro de Juntos por el Cambio, con Horacio Rodríguez Larreta y Patricia Bullrich mostrando sus diferencias en cuanto a la estrategia para ganar la presidencia en 2023.",3092,3273,3092,1808
"Según Patricia Bullrich, ¿cuál es la principal diferencia entre su propuesta para la economía y la de Horacio Rodríguez Larreta?","Bullrich cree en la ampliación del crédito social para impulsar el cambio, mientras que Larreta propone un acuerdo corporativo con el sistema político actual.",1728,1728,418,3530
"Según el artículo de Perfil.com del 27 de abril de 2022, ¿qué argumento utilizó Luis Juez para criticar la propuesta del gobierno de ampliar la Corte Suprema de Justicia?","Juez argumentó que la propuesta era hipócrita e insostenible, ya que se presentaba una semana después de que el gobierno rompiera los acuerdos sobre la integración del Consejo de la Magistratura.",2722,2722,2192,3066
"Según la información del diario La Nación del 12 de junio de 2022, ¿qué posibilidades tiene el proyecto de boleta única de papel de ser aprobado en el Senado?","El proyecto enfrenta fuertes obstáculos en el Senado, donde el oficialismo busca bloquear su avance y necesita la aprobación de la Comisión de Asuntos Constitucionales, controlada por el Frente de Todos.",3967,3967,2642,2876
"Según el artículo publicado por La Nación el 19 de mayo de 2022, ¿qué porcentaje de la producción de la empresa Lasfor se destina actualmente a la exportación?","Actualmente, el 5% de la producción de Lasfor se destina a la exportación.",3018,3018,1281,3433
"Según el artículo publicado en La Nación el 9 de enero de 2022, ¿qué entidad reguladora inició un sumario administrativo contra Generación Zoe por la posible realización de oferta pública e intermediación irregular en el mercado de capitales?",La Comisión Nacional de Valores (CNV) inició un sumario administrativo contra Generación Zoe.,45,45,977,1148
"Según Hugo ""El Pollo"" Carvajal, ¿cuántos envíos de dinero ilegal se realizaron a Argentina antes del caso Antonini Wilson, y cuál fue el monto aproximado de cada envío?",Carvajal afirma que se realizaron 20 envíos previos a Argentina con un millón de dólares cada uno.,458,458,543,377
"Según el artículo del diario Perfil del 5 de junio de 2022, ¿cuál es el principal motivo por el que la empresa estadounidense MMEX Resources Corporation decidió invertir en la producción de hidrógeno verde en Tierra del Fuego?","La empresa MMEX eligió Tierra del Fuego por su combinación de recursos naturales, como los fuertes vientos y la ubicación estratégica frente al océano, junto con las ventajas fiscales que ofrece la zona franca.",3640,3640,796,1623
"De acuerdo al artículo del diario La Nación del 14 de junio de 2022, ¿cuál es el principal desafío que enfrenta la industria de la carne de cerdo en la Argentina en la actualidad?","El principal desafío es mantener el alto nivel sanitario de las granjas, extremando medidas de bioseguridad para evitar la entrada de patógenos que podrían ser devastadores.",3871,3871,1706,2098
"Según un artículo de La Nación del 27 de junio de 2022, ¿cuál es la propuesta principal del gobernador de Catamarca, Raúl Jalil, con respecto a la gestión de los planes sociales?","Jalil propone un control provincial en la gestión de los planes sociales, para lograr una transformación hacia el trabajo genuino.",4307,4307,4309,1824
"Según el diario La Nación, ¿qué cambio se implementará en la inauguración de la Exposición Rural de Palermo en 2022?",La inauguración de la Exposición Rural de Palermo en 2022 eliminará el tradicional corte de cintas y se reemplazará por un acto de apertura con un video conmemorativo y discursos del presidente de la Rural.,3427,3427,1563,3206
"Según el artículo publicado en La Nación el 21 de marzo de 2022, ¿qué tipo de evento se llevó a cabo en la Facultad de Agronomía de la UBA para destacar el trabajo de las mujeres rurales?",Se llevó a cabo una ceremonia de premiación para reconocer a 20 mujeres destacadas del sector agropecuario.,1648,1648,336,3427
"Según el artículo de La Nación del 27 de junio de 2022, ¿qué factor impulsó la expansión internacional de la agencia Bitgeyser, especializada en realidad aumentada?","La colaboración con Tetra Pak, una empresa multinacional con presencia global, fue clave para la internacionalización de Bitgeyser.",4261,4261,345,4241
"Según el sitio de búsqueda de empleo Bumeran, ¿cuáles son los 5 oficios más solicitados por las empresas en el mercado laboral argentino en junio de 2022?","Los 5 oficios más solicitados son personal de mantenimiento y limpieza, empleados de seguridad, mecánicos, choferes y técnicos electrónicos.",4132,4132,1480,1465
"Según el artículo de La Nación del 8 de junio de 2022, ¿cuál es el principal problema que enfrenta la Argentina en términos de gas natural, a pesar de tener las segundas reservas mundiales de gas no convencional?",La Argentina gasta miles de millones de dólares en importar gas licuado cuando podría ser un exportador neto de gas licuado.,3472,3472,3374,4098
"De acuerdo con un artículo publicado en Clarín el 14 de mayo de 2022, ¿por qué el Papa Francisco se opone a reunirse con la vicepresidenta Cristina Kirchner?",El Papa Francisco quiere evitar que la vicepresidenta Cristina Kirchner use una reunión con él para la interna del Frente de Todos.,3314,3314,3351,3297
"En el contexto del 46 aniversario del golpe de Estado de 1976, ¿qué acción significativa llevará a cabo la DAIA por primera vez para reconocer a las víctimas del terrorismo de Estado?","La DAIA rendirá un homenaje a las víctimas judías del terrorismo de Estado, reconociendo así su responsabilidad en la indiferencia hacia la persecución durante la dictadura.",2032,2032,1345,2052
"De acuerdo con un estudio de la consultora D'Alessio IROL - Berensztein, ¿qué porcentaje de los encuestados se identifica con el fenómeno libertario?",Casi la mitad de los encuestados se identifica de alguna manera con el fenómeno libertario.,2454,1989,2454,1859
"Según el artículo de LA NACION del 24 de marzo de 2022, ¿qué atributo de la carne Angus Argentina destaca Alejandro Salemme como un diferencial para el mercado estadounidense?","Salemme destaca que la crianza pastoril en Argentina, principalmente a pasto, le da a la carne Angus un sabor especial diferente al de la carne estadounidense, que se engorda mayoritariamente con granos.",1693,1693,3361,2098
"Según La Nación del 19 de mayo de 2022, ¿cuál fue el resultado de la elección para la octava reelección de Julio Piumato como jefe de la Unión de Empleados Judiciales de la Nación (UEJN)?","Piumato ganó la elección con casi el 85% de los votos, superando a sus oponentes Luis Bechis y Marcela Botticini.",3042,3042,2255,2226
"Según el artículo de La Nación del 18 de febrero de 2022, ¿cuál es el objetivo de exportación a corto plazo de la empresa ""Quesos Migue""?",La empresa planea exportar 30 toneladas de queso a Brasil en dos envíos durante el primer trimestre del año.,966,966,3433,3830
"En el marco de la carrera presidencial argentina, ¿qué tipo de evento político-musical organizará el diputado Javier Milei en junio con la participación del cantante El Dipy?","Milei organizará un acto en junio con el cantante El Dipy, donde habrá un show musical y una clase de economía.",3577,3577,4222,2502
"Según Clarín, ¿qué es el nuevo proyecto de Agulla y Baccetti, Black Minds, y cómo se relaciona con el mundo de los NFT y el metaverso?","Black Minds es un proyecto que lanzará 10.100 NFT de llamas, que servirán como acceso a un portal comunitario dentro del metaverso para intercambiar ideas, jugar y realizar actividades virtuales.",2829,2829,2590,1824
"Según el artículo de Clarín del 22 de marzo de 2022, ¿cuáles son los principales objetivos de la reglamentación de la Ley de Promoción de la Alimentación Saludable, también conocida como Ley de Etiquetado Frontal?","La reglamentación busca combatir factores de riesgo para la salud como la obesidad, la hipertensión y problemas cardíacos mediante la inclusión de etiquetas que adviertan sobre el exceso de azúcares, sodio, grasas saturadas, grasas totales y calorías en los productos alimenticios.",1940,1940,215,1824
"Según un artículo publicado en La Nación el 10 de enero de 2022, ¿qué tipo de problema de salud ha afectado al intendente de Rosario, Pablo Javkin?","El intendente de Rosario, Pablo Javkin, anunció que le detectaron una ""patología prostática"".",134,134,2618,4019
"Según el estudio de Equifax, ¿cuál es el salario promedio mensual de las mujeres argentinas entre 18 y 80 años?",El salario promedio mensual para las mujeres argentinas entre 18 y 80 años es de $57.096.,1129,1129,488,1107
"Según Perfil.com, ¿cuál fue la principal razón por la que Alberto Fernández intentó dejar la interna oficial en Madrid y concentrarse en la gira?","Alberto Fernández intentó dejar la interna oficial en Madrid para concentrarse en la gira y retomar la agenda internacional, particularmente en relación a la crisis alimentaria mundial provocada por la guerra en Ucrania.",3158,3158,110,3297
"Según la Fundación LED, ¿cuántos casos de censura directa o indirecta se registraron en Argentina durante el año 2021?",La Fundación LED registró 180 casos de censura directa o indirecta en Argentina durante 2021.,1886,1886,790,2052
"Según un artículo de La Nación del 13 de abril de 2022, ¿qué error se detectó en la aplicación BNA+ del Banco Nación que interrumpió temporalmente las transferencias a CVU?","Se descubrió que al ingresar ""Expropiación"" como motivo en una transferencia a un CVU desde la app, el dinero se acreditaba en la cuenta de destino sin descontarse de la cuenta de origen.",2182,2182,2830,984
"Según el diario Clarín del 24 de abril de 2022, ¿qué conexión estableció Eduardo ""Wado"" de Pedro entre el Holocausto y el terrorismo de Estado en Argentina durante su visita a Israel?","De Pedro equiparó el genocidio nazi con las acciones del terrorismo de Estado en Argentina, una comparación habitual en el discurso kirchnerista.",2910,2910,1345,1554
"Según el artículo de Clarín del 13 de marzo de 2022, ¿qué empresa española se relaciona con el argentino Luis Fernando Vuteff García en una red de lavado de dinero vinculada al chavismo?","La empresa española es Columbus One Properties, una oficina de inversión ubicada en Madrid.",1547,1547,543,458
"De acuerdo al artículo de Clarín del 5 de mayo de 2022, ¿cuáles son los principales argumentos a favor de la implementación de la Boleta Única de Papel en Argentina?","Los principales argumentos a favor son el ahorro económico, la mayor transparencia y la simplificación del proceso electoral, además de la eliminación del derroche de papel y la reducción del impacto ambiental.",2876,2876,3938,2642
"Según el artículo del diario 'La Nación' del 18 de junio de 2022, ¿cuál es el principal desafío que enfrentan las nuevas cadenas de tiendas que buscan ocupar el lugar que dejó Falabella en Argentina?",El principal desafío es ofrecer una amplia variedad de productos a pesar de las dificultades para importar debido al cepo cambiario.,3882,3882,1949,4
"Según el artículo de Perfil.com del 18 de marzo de 2022, ¿qué medidas anunció el Presidente Alberto Fernández para contener la inflación en los alimentos?","El Presidente Fernández anunció la creación de un fondo de estabilización para evitar que los precios internacionales de los alimentos impacten en el mercado interno y convocará a empresarios, sindicatos y movimientos sociales para diseñar una estrategia contra la inflación.",1467,1467,121,1431
"Tras ser condenado a 8 años de prisión por corrupción, ¿qué decisión tomó Sergio Urribarri respecto a su cargo como embajador argentino en Israel?",Urribarri presentó su renuncia al cargo de embajador en Israel.,2328,2328,2219,2466
"Según el artículo del diario La Nación del 12 de mayo de 2022, ¿de qué maneras pueden consultar los solicitantes del Refuerzo de Ingresos de la Anses si su solicitud fue aprobada o rechazada?",Los solicitantes del Refuerzo de Ingresos pueden consultar el estado de su solicitud a través del sitio web Mi Anses o mediante la aplicación Mi Anses.,2983,2983,3180,3441
"Según un artículo de Perfil del 1 de abril de 2022, ¿qué acusación realizó la Dirección Nacional de Defensa del Consumidor y Arbitraje del Consumo (DNDC) contra Pedidos Ya y Rappi?","La DNDC acusó a Pedidos Ya y Rappi por cobrar cargos no solicitados a los consumidores en concepto de ""Propina"" por la realización de pedidos a través de sus plataformas.",1914,1914,2790,2817
"Según Felipe Solá, ¿cuál es la principal crítica que le hace al ministro de Economía Martín Guzmán en relación al rumbo económico del gobierno?",Solá critica a Guzmán por su falta de pragmatismo y por analizar la economía de manera teórica sin tomar acciones concretas para mejorar la situación.,3590,3590,2354,367
"Según Elisa Carrió, ¿qué tipo de protección política recibió el fiscal Claudio Scapolan durante años?","Carrió sostiene que Scapolan gozó de una ""escandalosa protección política"".",2928,2928,1585,2324
"Según el artículo de La Nación del 25 de abril de 2022, ¿cuál es la razón por la que la policía no ingresa al predio ocupado en Los Hornos, La Plata?",La policía no ingresa al predio debido a la inseguridad y las amenazas con armas de fuego que sufren quienes se atreven a entrar.,2678,2678,2218,1322
"Según el exviceministro de Economía Emmanuel Álvarez Ágis, ¿cuál fue la principal diferencia entre el acuerdo con el FMI firmado por Mauricio Macri en 2018 y el acuerdo firmado por el gobierno actual?","La principal diferencia radica en que el acuerdo actual no exige un ajuste fiscal a cambio de la refinanciación de la deuda, algo inusual para los estándares del FMI.",519,519,1424,1002
"Según el balance de 2021 de Aerolíneas Argentinas publicado en La Nación, ¿cómo se compara la pérdida neta de la empresa con la del año 2019, teniendo en cuenta la cantidad de pasajeros transportados en cada año?","La pérdida neta de Aerolíneas Argentinas se redujo en un 34% en 2021 en comparación con 2019, a pesar de que la cantidad de pasajeros transportados disminuyó significativamente.",3880,3880,199,1116
"Según el artículo de La Nación del 30 de marzo de 2022, ¿qué tema principal se discutió en el encuentro reservado entre Máximo Kirchner y Pablo Moyano?","Máximo Kirchner y Pablo Moyano conversaron sobre la situación del país, la actualidad laboral de los trabajadores y el crecimiento del PJ Bonaerense.",1767,1767,3295,672
